class,Forma del sombrero,Textura del sombrero,Color del sombrero,Seta dañada?,Olor,Espacio entre laminas,Tamaño de las laminas,Color de las laminas,Forma del tallo,Raiz,Superficie del tallo,Color del tallo,Tipo del anillo,Color de las esporas,poblacion,habitat
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,blanca,si,almendra,abundante,estrecho,marron,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,escamosa,gris,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,gris,colgante,negro,varios,bosques
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,gris,colgante,marron,solitarios,bosques
comestible,convexa,lisa,amarillo,si,almendra,abundante,estrecho,rosa,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,escamosa,rojo,si,ninguno,cercano,amplio,lila,disminuido,bulba,liso,gris,colgante,marron,solitarios,bosques
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,varios,urbanos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
venenoso,plana,escamosa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,escamosa,amarillo,si,anis,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,negro,solitarios,pastos
venenoso,convexa,escamosa,marron,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,varios,urbanos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
venenoso,plana,escamosa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,dispersos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,dispersos,urbanos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,rosa,colgante,marron,solitarios,bosques
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,rosa,colgante,marron,solitarios,bosques
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,blanca,colgante,negro,solitarios,bosques
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,convexa,fibrosa,blanca,si,almendra,abundante,estrecho,rosa,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,escamosa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,escamosa,marron,si,ninguno,cercano,amplio,blanca,disminuido,bulba,liso,blanca,colgante,marron,solitarios,bosques
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
venenoso,plana,escamosa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,marron,dispersos,urbanos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,dispersos,urbanos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
venenoso,plana,escamosa,blanca,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,marron,varios,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,escamosa,rojo,si,ninguno,cercano,amplio,lila,disminuido,bulba,liso,gris,colgante,negro,solitarios,bosques
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,marron,dispersos,urbanos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,rosa,colgante,marron,varios,bosques
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,convexa,fibrosa,gris,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,gris,colgante,marron,varios,bosques
venenoso,plana,escamosa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,varios,urbanos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
venenoso,convexa,escamosa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,varios,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
venenoso,plana,escamosa,marron,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,dispersos,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,rosa,colgante,negro,varios,bosques
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,gris,colgante,marron,varios,bosques
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,marron,dispersos,caminos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,gris,si,ninguno,cercano,amplio,blanca,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,escamosa,marron,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,escamosa,gris,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,rosa,colgante,negro,solitarios,bosques
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,rosa,disminuido,bulba,liso,blanca,colgante,marron,solitarios,bosques
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,fibrosa,marron,no,ninguno,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,solitarios,urbanos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,varios,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,lila,disminuido,bulba,liso,blanca,colgante,negro,varios,bosques
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,fibrosa,rojo,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,rosa,colgante,negro,varios,bosques
venenoso,plana,escamosa,blanca,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
venenoso,plana,lisa,marron,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,marron,dispersos,urbanos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,varios,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,fibrosa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,plana,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,varios,pastos
venenoso,plana,lisa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,negro,varios,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,blanca,disminuido,bulba,liso,blanca,colgante,negro,varios,bosques
comestible,convexa,fibrosa,marron,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,gris,colgante,marron,varios,bosques
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,lisa,amarillo,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,fibroso,blanca,evanescente,negro,abundante,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,lisa,amarillo,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,abundante,pastos
venenoso,convexa,escamosa,marron,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,negro,dispersos,urbanos
comestible,convexa,escamosa,gris,si,ninguno,cercano,amplio,marron,disminuido,bulba,liso,rosa,colgante,marron,varios,bosques
